"Validated Using","Source","Category","Impact","Resource Type","Recommendation","Recommendation Id","Subscription Id","Subscription Name","Resource Group","Resource Name","Resource Id","Param1","Param2","Param3","Param4","Param5","Learn"
"Azure Resource Graph","APRL","OtherBestPractices","High","Microsoft.Web/sites","Enable Health check for App Services","fd049c28-ae6d-48f0-a641-cc3ba1a3fe1d","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","app-tpa-prod-frontend-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Web/sites/app-tpa-prod-frontend-ncus","Healthcheckpath = not set","","","","",
"Azure Resource Graph","APRL","OtherBestPractices","Low","Microsoft.Web/sites","Deploy to a staging slot","a1d91661-32d4-430b-b3b6-5adeb0975df7","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","app-tpa-prod-backend-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Web/sites/app-tpa-prod-backend-ncus","PremiumV3","DeploymentSlotEnabled=false","","","",
"Azure Resource Graph","APRL","OtherBestPractices","Low","Microsoft.Web/sites","Deploy to a staging slot","a1d91661-32d4-430b-b3b6-5adeb0975df7","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","app-tpa-prod-frontend-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Web/sites/app-tpa-prod-frontend-ncus","PremiumV3","DeploymentSlotEnabled=false","","","",
"Azure Resource Graph","APRL","MonitoringAndAlerting","Low","Microsoft.Network/networkSecurityGroups","Monitor changes in Network Security Groups with Azure Monitor","8bb4a57b-55e4-d24e-9c19-2679d8bc779f","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","nsg-snet-tpa-prod-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/networkSecurityGroups/nsg-snet-tpa-prod-ncus","ModificationAlert: Not configured/Disabled","","","","",
"Azure Resource Graph","APRL","MonitoringAndAlerting","Medium","Microsoft.Network/networkWatchers","Configure Network Watcher Connection monitor","1e28bbc1-1eb7-486f-8d7f-93943f40219c","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","NetworkWatcherRG","NetworkWatcher_northcentralus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_northcentralus","","","","","",
"Azure Resource Graph","AZQR","DisasterRecovery","Low","Microsoft.Storage/storageAccounts","Storage Account should have immutable storage versioning enabled","st-010","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","sttpaprodfwubq55usdsyk","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Storage/storageAccounts/sttpaprodfwubq55usdsyk","Immutable storage versioning is not enabled","","","","",
"Azure Resource Graph","APRL","MonitoringAndAlerting","Medium","microsoft.network/virtualnetworks","Enable Virtual Network Flow Logs","06b77be9-56a3-4d41-b362-8b295c5a283d","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","vnet-spoke-tpa-prd","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourcegroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/microsoft.network/virtualnetworks/vnet-spoke-tpa-prd","Missing Vnet Flow Log configuration","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/networkWatchers","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","NetworkWatcherRG","NetworkWatcher_northcentralus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_northcentralus","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.AppConfiguration/configurationStores","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","appcs-prod-3dv5vnwo5uxsi","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.AppConfiguration/configurationStores/appcs-prod-3dv5vnwo5uxsi","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Cdn/profiles","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","az-fd-prod","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Cdn/profiles/az-fd-prod","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Cdn/profiles","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","az-ep-prod","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Cdn/profiles/az-fd-prod/afdendpoints/az-ep-prod","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Insights/components","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","ai-prod","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Insights/components/ai-prod","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.KeyVault/vaults","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","kv-tpa-prod-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.KeyVault/vaults/kv-tpa-prod-ncus","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/frontdoorWebApplicationFirewallPolicies","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","wafprod","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/frontdoorWebApplicationFirewallPolicies/wafprod","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/networkInterfaces","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","pe-appconfig-prod.nic.57a5b2d6-75b9-4ff1-b6c8-42750147fcce","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/networkInterfaces/pe-appconfig-prod.nic.57a5b2d6-75b9-4ff1-b6c8-42750147fcce","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/networkInterfaces","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","pe-kv-prod.nic.602ac5e6-465b-4396-86d8-9cf8b8ce96a5","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/networkInterfaces/pe-kv-prod.nic.602ac5e6-465b-4396-86d8-9cf8b8ce96a5","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/networkInterfaces","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","pe-sql-prod.nic.28ca4fe4-8a01-47b4-bf90-07c1636d7a35","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/networkInterfaces/pe-sql-prod.nic.28ca4fe4-8a01-47b4-bf90-07c1636d7a35","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/networkInterfaces","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","pe-storage-prod.nic.25514168-aefe-47e6-93ca-5e89e90211a6","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/networkInterfaces/pe-storage-prod.nic.25514168-aefe-47e6-93ca-5e89e90211a6","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/networkSecurityGroups","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","nsg-snet-tpa-prod-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/networkSecurityGroups/nsg-snet-tpa-prod-ncus","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/privateEndpoints","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","pe-appconfig-prod","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/privateEndpoints/pe-appconfig-prod","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/privateEndpoints","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","pe-kv-prod","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/privateEndpoints/pe-kv-prod","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/privateEndpoints","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","pe-sql-prod","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/privateEndpoints/pe-sql-prod","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/privateEndpoints","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","pe-storage-prod","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/privateEndpoints/pe-storage-prod","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.OperationalInsights/workspaces","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","log-prod","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.OperationalInsights/workspaces/log-prod","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Sql/servers","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","sql-prod-fwubq55usdsyk","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Sql/servers/sql-prod-fwubq55usdsyk","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Sql/servers","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","db-config","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Sql/servers/sql-prod-fwubq55usdsyk/databases/db-config","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Sql/servers","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","master","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Sql/servers/sql-prod-fwubq55usdsyk/databases/master","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Storage/storageAccounts","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","sttpaprodfwubq55usdsyk","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Storage/storageAccounts/sttpaprodfwubq55usdsyk","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Web/serverFarms","Resource should have tags","resources-001","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","asp-tpa-prod-ncus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Web/serverFarms/asp-tpa-prod-ncus","No tags configured","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/networkWatchers","Resource should comply with naming conventions","resources-002","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","NetworkWatcherRG","NetworkWatcher_northcentralus","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_northcentralus","Expected prefix: nw, Actual: NetworkWatcher_northcentralus","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Cdn/profiles","Resource should comply with naming conventions","resources-002","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","az-fd-prod","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Cdn/profiles/az-fd-prod","Expected prefix: afd, Actual: az-fd-prod","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Insights/components","Resource should comply with naming conventions","resources-002","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","ai-prod","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Insights/components/ai-prod","Expected prefix: appi, Actual: ai-prod","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/frontdoorWebApplicationFirewallPolicies","Resource should comply with naming conventions","resources-002","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","wafprod","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/frontdoorWebApplicationFirewallPolicies/wafprod","Expected prefix: fdfp, Actual: wafprod","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/networkInterfaces","Resource should comply with naming conventions","resources-002","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","pe-appconfig-prod.nic.57a5b2d6-75b9-4ff1-b6c8-42750147fcce","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/networkInterfaces/pe-appconfig-prod.nic.57a5b2d6-75b9-4ff1-b6c8-42750147fcce","Expected prefix: nic, Actual: pe-appconfig-prod.nic.57a5b2d6-75b9-4ff1-b6c8-42750147fcce","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/networkInterfaces","Resource should comply with naming conventions","resources-002","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","pe-kv-prod.nic.602ac5e6-465b-4396-86d8-9cf8b8ce96a5","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/networkInterfaces/pe-kv-prod.nic.602ac5e6-465b-4396-86d8-9cf8b8ce96a5","Expected prefix: nic, Actual: pe-kv-prod.nic.602ac5e6-465b-4396-86d8-9cf8b8ce96a5","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/networkInterfaces","Resource should comply with naming conventions","resources-002","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","pe-sql-prod.nic.28ca4fe4-8a01-47b4-bf90-07c1636d7a35","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/networkInterfaces/pe-sql-prod.nic.28ca4fe4-8a01-47b4-bf90-07c1636d7a35","Expected prefix: nic, Actual: pe-sql-prod.nic.28ca4fe4-8a01-47b4-bf90-07c1636d7a35","","","","",
"Azure Resource Graph","AZQR","Governance","Low","Microsoft.Network/networkInterfaces","Resource should comply with naming conventions","resources-002","xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03","dt-prd-tpa-oeqrq2jxadm36","rg-spoke-tpa-prd-imkltpplo5qyg","pe-storage-prod.nic.25514168-aefe-47e6-93ca-5e89e90211a6","/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxc661a03/resourceGroups/rg-spoke-tpa-prd-imkltpplo5qyg/providers/Microsoft.Network/networkInterfaces/pe-storage-prod.nic.25514168-aefe-47e6-93ca-5e89e90211a6","Expected prefix: nic, Actual: pe-storage-prod.nic.25514168-aefe-47e6-93ca-5e89e90211a6","","","","",
